Yorum,Duygu
Kalabalıklar beni ciddi anlamda bunaltıyor.,huzursuz
Dışarı çıkmak istemiyorum ama evde kalmak da sıkıyor.,huzursuz
Derin nefes alsam da rahatlayamıyorum.,huzursuz
Kendi düşüncelerimden bile huzursuz oluyorum.,huzursuz
İçimde tanımlayamadığım bir huzursuzluk var.,huzursuz
Sürekli bir karar verme baskısı var üzerimde.,huzursuz
Sürekli tetikte olmak inanılmaz yorucu.,huzursuz
Her şey kontrolüm dışında gelişiyor gibi.,huzursuz
Evde yalnız kalınca panik yapıyorum.,huzursuz
Kendimi sık sık nefes kontrolü yaparken buluyorum.,huzursuz
Kalabalık ortamlar mideme ağrılar sokuyor.,huzursuz
Gün boyunca diken üstünde gibi hissediyorum.,huzursuz
Her şey kontrolümden çıkacakmış gibi.,huzursuz
Sabah kalkınca bir sebep olmadan kalbim çarpıyor.,huzursuz
Sanki içimde bir şey eksik ama ne olduğunu bilmiyorum.,huzursuz
Etrafımdakiler mutlu ama ben hep huzursuzum.,huzursuz
Televizyonun sesi bile fazla geliyor artık.,huzursuz
Uyandığım anla birlikte huzursuzluk başlıyor.,huzursuz
Küçücük şeylere bile anında tepki veriyorum.,huzursuz
Hava bile boğucu geliyor bazı günler.,huzursuz
Kafamın içinde durmadan dönen düşünceler var.,huzursuz
Yemeğim bile içime sinmeden yiyorum.,huzursuz
Her şey yolunda gitse bile içim rahat değil.,huzursuz
Gün içinde birkaç kez titrediğimi fark ediyorum.,huzursuz
Gece yatağa yattığımda rahatlamak mümkün olmuyor.,huzursuz
Hemen sinirlenip sonra vicdan azabı duyuyorum.,huzursuz
İnsanların bana baktığını düşünüp huzursuz oluyorum.,huzursuz
Her şey sanki olması gerekenden farklı gibi.,huzursuz
Fiziksel olarak bir sorun yok ama hep diken üstündeyim.,huzursuz
Aynaya bakmak istemediğim zamanlar oluyor.,huzursuz
Etraftaki hareketler bile beni rahatsız ediyor.,huzursuz
Her kararın sonucu kötü olacakmış gibi geliyor.,huzursuz
Durduk yere boğazım düğümleniyor.,huzursuz
Koltukta bile otururken içim rahat değil.,huzursuz
"İçimde bir sıkışma var, geçmek bilmiyor.",huzursuz
Uyuyamadan saatlerce dönüp duruyorum.,huzursuz
Sürekli bir şey unutuyormuşum hissi.,huzursuz
En basit şeyler bile içime dert oluyor.,huzursuz
Aklımda bir sürü ihtimal var ve hepsi kötü.,huzursuz
Korkacak bir şey yokken bile içim daralıyor.,huzursuz
İçsel bir huzura o kadar uzağım ki...,huzursuz
Kendi içimde sıkışıp kalmış gibiyim.,huzursuz
Müzik bile artık sakinleştirmiyor.,huzursuz
Çevremdeki gürültü sinir bozucu geliyor.,huzursuz
Otobüste bile bir an önce inmek istiyorum.,huzursuz
Gece sessizliği bile tehdit gibi geliyor.,huzursuz
İnsanların konuşması içimi sıkıyor.,huzursuz
Her hareketimi kontrol etmeye çalışıyorum.,huzursuz
Sessizliğe kaçmak istiyorum ama orada da rahat değilim.,huzursuz
Rahatlamaya çalıştıkça daha da geriliyorum.,huzursuz
Hiçbir yerde tam anlamıyla rahat hissedemiyorum.,huzursuz
Zihnim sürekli senaryolar kuruyor.,huzursuz
Gün içinde sebepsiz bir huzursuzluk gelip geçiyor.,huzursuz
Bir türlü kendimi bırakıp gevşeyemiyorum.,huzursuz
Sanki biri beni izliyormuş gibi hissediyorum.,huzursuz
Gün bitince bile rahatlamıyorum.,huzursuz
İç sesim sürekli konuşuyor ve susmuyor.,huzursuz
Aynı düşünceler defalarca kafamda dönüyor.,huzursuz
Gelecek düşüncesi içimi daraltıyor.,huzursuz
O kadar dikkatliyim ki bu bile yoruyor.,huzursuz
Aniden ağlayacak gibi hissediyorum.,huzursuz
Sadece oturmak bile rahatsız hissettiriyor.,huzursuz
Kendimi yatıştırmakta çok zorlanıyorum.,huzursuz
Elim titriyor ama nedenini bilmiyorum.,huzursuz
İçimden hiçbir şey yapmak gelmiyor ama yatınca huzursuzum.,huzursuz
 Huzur kelimesi bile uzak bir hayal gibi geliyor.,huzursuz
